,PlantFK,PlantSpecies,InferredName,NameConfidence
1,986,"American beech, American elm, American beech, American elm, American beech",NA,1
2,990,"Dogwood spp., Dogwood spp., Dogwood spp.",Dogwood spp.,3
3,1140,"Cucumbertree, Southern magnolia, Southern magnolia",NA,1
4,1156,Water oak,Water oak,2
5,1226,Common buckthorn,Common buckthorn,2
6,1227,Redosier dogwood,Redosier dogwood,2
7,1228,Black ash,Black ash,2
8,1229,Redosier dogwood,Redosier dogwood,2
9,1230,Common buckthorn,Common buckthorn,2
10,1502,Water oak,Water oak,2
11,1945,"Winged elm, Winged elm",Winged elm,3
12,1946,Winged elm,Winged elm,2
13,2352,"Rocky mountain maple, Red maple, Eastern redbud, Willow oak, Willow oak, Dogwood spp., White oak, White oak, White oak, Red maple, Red maple",NA,1
14,2355,"Rocky mountain maple, Cucumbertree, Red maple, Red maple",NA,1
15,2362,"Oak spp., Bigleaf magnolia, Magnolia spp., Magnolia, Magnolia, Bigleaf maple",NA,1
16,2375,"Southern magnolia, Southern magnolia, Southern magnolia, Cucumbertree",NA,1
17,2376,"Hackberry, Hackberry, Hackberry, Hackberry",Hackberry,3
18,2387,"Japanese maple, Sugar maple, Sugar maple, Silver maple",NA,1
19,2390,"American beech, American beech, American beech, American beech, American beech, American beech",American beech,3
20,2391,Dogwood spp.,Dogwood spp.,2
21,2393,"American holly, American holly, Willow oak",NA,1
22,2394,"Eastern redbud, Southern catalpa, Willow oak, Willow oak",NA,1
23,2405,"Elm spp., American beech",NA,1
24,3245,"White fir, White fir",White fir,3
25,3302,"Highbush blueberry, Black cherry, Highbush blueberry",NA,1
26,3532,Common lilac?,NA,1
27,3536,Elder,Elder,2
28,3537,Maple,Maple,2
29,3540,"Maple, Maple spp.",NA,1
30,3542,Maple spp.,Maple spp.,2
31,3544,White oak tree,White oak tree,2
32,3547,Maple,Maple,2
33,3549,"Maple, Maple",Maple,3
34,3552,"Maple, Maple spp.",NA,1
35,3553,Maple,Maple,2
36,3554,"Asian pear tree, Asian pear tree",Asian pear tree,3
37,3557,"Persimmon, Persimmon spp., Common persimmon",NA,1
38,3558,"Chickasaw plum, Chickasaw plum, Chickasaw plum",Chickasaw plum,3
39,5061,"Devil’s walking stick, Devil’s walking stick, Yaupon",NA,1
40,5072,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam",Eastern hophornbeam,3
41,5073,"Flowering dogwood, Flowering dogwood, Flowering dogwood, Flowering dogwood",Flowering dogwood,3
42,5074,"American holly, American holly, American holly",American holly,3
43,5075,"Sweetgum, Sweetgum, Sweetgum",Sweetgum,3
44,5076,"Sweetgum, Sweetgum, Sweetgum",Sweetgum,3
45,5174,"Dogwood spp., Dogwood spp.",Dogwood spp.,3
46,5175,"Sweetgum, Sweetgum",Sweetgum,3
47,5176,"Sweetgum, Sweetgum, Sweetgum",Sweetgum,3
