"","Name","Region","PlantFK","PlantSpecies","InferredName","ConfidenceInterval","Notes"
"1","NC State University","NC",986,"American beech, American elm, American beech, American elm, American beech","TEST","TEST",NA
"2","NC State University","NC",990,"Dogwood spp., Dogwood spp., Dogwood spp.","Dogwood spp.","3",NA
"3","Columbus Botanical Garden","GA",1140,"Cucumbertree, Southern magnolia, Southern magnolia",NA,"1",NA
"4","Columbus Botanical Garden","GA",1156,"Water oak","Water oak","2",""
"5","Wye Marsh Wildlife Centre","ON",1226,"Common buckthorn","Common buckthorn","2",""
"6","Wye Marsh Wildlife Centre","ON",1227,"Redosier dogwood","Redosier dogwood","2",""
"7","Wye Marsh Wildlife Centre","ON",1228,"Black ash","Black ash","2",""
"8","Wye Marsh Wildlife Centre","ON",1229,"Redosier dogwood","Redosier dogwood","2","some wind"
"9","Wye Marsh Wildlife Centre","ON",1230,"Common buckthorn","Common buckthorn","2",""
"10","Red Top Mountain State Park","GA",1502,"Water oak","Water oak","2",""
"11","Jordan Lake SRA","NC",1945,"Winged elm, Winged elm","Winged elm","3",NA
"12","Jordan Lake SRA","NC",1946,"Winged elm","Winged elm","2",""
"13","NC State University","NC",2352,"Rocky mountain maple, Red maple, Eastern redbud, Willow oak, Willow oak, Dogwood spp., White oak, White oak, White oak, Red maple, Red maple",NA,"1",NA
"14","NC State University","NC",2355,"Rocky mountain maple, Cucumbertree, Red maple, Red maple",NA,"1",NA
"15","NC State University","NC",2362,"Oak spp., Bigleaf magnolia, Magnolia spp., Magnolia, Magnolia, Bigleaf maple",NA,"1",NA
"16","NC State University","NC",2375,"Southern magnolia, Southern magnolia, Southern magnolia, Cucumbertree",NA,"1",NA
"17","NC State University","NC",2376,"Hackberry, Hackberry, Hackberry, Hackberry","Hackberry","3",NA
"18","NC State University","NC",2387,"Japanese maple, Sugar maple, Sugar maple, Silver maple",NA,"1",NA
"19","NC State University","NC",2390,"American beech, American beech, American beech, American beech, American beech, American beech","American beech","3",NA
"20","NC State University","NC",2391,"Dogwood spp.","Dogwood spp.","2",""
"21","NC State University","NC",2393,"American holly, American holly, Willow oak",NA,"1",NA
"22","NC State University","NC",2394,"Eastern redbud, Southern catalpa, Willow oak, Willow oak",NA,"1",NA
"23","NC State University","NC",2405,"Elm spp., American beech",NA,"1",NA
"24","Example Site","NC",3245,"White fir, White fir","White fir","3",NA
"25","Museum of American Bird Art","MA",3302,"Highbush blueberry, Black cherry, Highbush blueberry",NA,"1",NA
"26","Wellesley College","MA",3532,"Common lilac?",NA,"1",""
"27","Wellesley College","MA",3536,"Elder","Elder","2",""
"28","Wellesley College","MA",3537,"Maple","Maple","2",""
"29","Wellesley College","MA",3540,"Maple, Maple spp.",NA,"1",NA
"30","Wellesley College","MA",3542,"Maple spp.","Maple spp.","2",""
"31","Wellesley College","MA",3544,"White oak tree","White oak tree","2",""
"32","Wellesley College","MA",3547,"Maple","Maple","2",""
"33","Wellesley College","MA",3549,"Maple, Maple","Maple","3",NA
"34","Wellesley College","MA",3552,"Maple, Maple spp.",NA,"1",NA
"35","Wellesley College","MA",3553,"Maple","Maple","2","Lots of falls on leaves"
"36","Wellesley College","MA",3554,"Asian pear tree, Asian pear tree","Asian pear tree","3",NA
"37","Wellesley College","MA",3557,"Persimmon, Persimmon spp., Common persimmon",NA,"1",NA
"38","Wellesley College","MA",3558,"Chickasaw plum, Chickasaw plum, Chickasaw plum","Chickasaw plum","3",NA
"39","Botany Bay Heritage Preserve","SC",5061,"Devil’s walking stick, Devil’s walking stick, Yaupon",NA,"1",NA
