Name,Region,PlantFK,UserSuggestedName,PhotoURL,InferredName,NameConfidence,Notes
NC State University,NC,986,"American beech, American elm, American beech, American elm, American beech","41633.jpeg, 41980.jpeg, 42188.jpeg",American beech,3,based on photos
NC State University,NC,990,"Dogwood spp., Dogwood spp., Dogwood spp.",NA,Dogwood spp.,2,NA
Columbus Botanical Garden,GA,1140,"Cucumbertree, Southern magnolia, Southern magnolia",NA,Magnolia spp.,2,NA
Columbus Botanical Garden,GA,1156,Water oak,NA,Water oak,2,
Wye Marsh Wildlife Centre,ON,1226,Common buckthorn,NA,Common buckthorn,2,
Wye Marsh Wildlife Centre,ON,1227,Redosier dogwood,71096.jpeg,Redosier dogwood,3,
Wye Marsh Wildlife Centre,ON,1228,Black ash,NA,Black ash,2,
Wye Marsh Wildlife Centre,ON,1229,Redosier dogwood,NA,Redosier dogwood,2,some wind
Wye Marsh Wildlife Centre,ON,1230,Common buckthorn,NA,Common buckthorn,2,
Red Top Mountain State Park,GA,1502,Water oak,NA,Water oak,2,
Jordan Lake SRA,NC,1945,"Winged elm, Winged elm",NA,Winged elm,3,NA
Jordan Lake SRA,NC,1946,Winged elm,NA,Winged elm,2,
NC State University,NC,2352,"Rocky mountain maple, Red maple, Eastern redbud, Willow oak, Willow oak, Dogwood spp., White oak, White oak, White oak, Red maple, Red maple","41482.jpeg, 41549.jpeg",Willow oak,3,based on first photo
NC State University,NC,2355,"Rocky mountain maple, Cucumbertree, Red maple, Red maple",NA,NA,1,NA
NC State University,NC,2362,"Oak spp., Bigleaf magnolia, Magnolia spp., Magnolia, Magnolia, Bigleaf maple","41489.jpeg, 41490.jpeg",NA,1,"unclear from 41489, 41490"
NC State University,NC,2375,"Southern magnolia, Southern magnolia, Southern magnolia, Cucumbertree",NA,NA,1,NA
NC State University,NC,2376,"Hackberry, Hackberry, Hackberry, Hackberry",NA,Hackberry,3,NA
NC State University,NC,2387,"Japanese maple, Sugar maple, Sugar maple, Silver maple","156.jpeg, 41585.jpeg, 41738.jpeg, 41960.jpeg",Japanese maple,3,"based on name entries plus 41738, but other photos seem to be of a large trunked tree"
NC State University,NC,2390,"American beech, American beech, American beech, American beech, American beech, American beech",41460.jpeg,American beech,3,NA
NC State University,NC,2391,Dogwood spp.,"159.jpeg, 41440.jpeg, 41441.jpeg",Dogwood spp.,2,"decent photo, but unsure"
NC State University,NC,2393,"American holly, American holly, Willow oak",NA,NA,1,NA
NC State University,NC,2394,"Eastern redbud, Southern catalpa, Willow oak, Willow oak",179.jpeg,Eastern redbud,3,based on photo
NC State University,NC,2405,"Elm spp., American beech","41591.jpeg, 41592.jpeg, 41593.jpeg, 41594.jpeg, 42143.jpeg",Carpinus caroliniana,3,based on leaf in 41591 and trunk base in 41592
Museum of American Bird Art,MA,3302,"Highbush blueberry, Black cherry, Highbush blueberry",NA,NA,1,NA
Wellesley College,MA,3532,Common lilac?,NA,NA,1,
Wellesley College,MA,3536,Elder,NA,Elder,2,
Wellesley College,MA,3537,Maple,NA,Maple,2,
Wellesley College,MA,3540,"Maple, Maple spp.",NA,NA,1,NA
Wellesley College,MA,3542,Maple spp.,"12482.jpeg, 13198.jpeg",Quercus spp.,2,Q. pagoda or Q. macrocarpa based on photos?
Wellesley College,MA,3544,White oak tree,"9603.jpeg, 11546.jpeg",Quercus spp.,2,I think Quercus from photos
Wellesley College,MA,3547,Maple,NA,Maple,2,
Wellesley College,MA,3549,"Maple, Maple",NA,Maple,3,NA
Wellesley College,MA,3552,"Maple, Maple spp.",NA,NA,1,NA
Wellesley College,MA,3553,Maple,11558.jpeg,Red maple,3,based on photo
Wellesley College,MA,3554,"Asian pear tree, Asian pear tree",NA,Pyrus pyrifolia,3,NA
Wellesley College,MA,3557,"Persimmon, Persimmon spp., Common persimmon",NA,Persimmon spp.,3,NA
Wellesley College,MA,3558,"Chickasaw plum, Chickasaw plum, Chickasaw plum",NA,Chickasaw plum,3,NA
Botany Bay Heritage Preserve,SC,5061,"Devil’s walking stick, Devil’s walking stick, Yaupon",NA,NA,1,NA
Botany Bay Heritage Preserve,SC,5072,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam",NA,Eastern hophornbeam,3,NA
Botany Bay Heritage Preserve,SC,5073,"Flowering dogwood, Flowering dogwood, Flowering dogwood, Flowering dogwood",NA,Flowering dogwood,3,NA
Botany Bay Heritage Preserve,SC,5074,"American holly, American holly, American holly",NA,American holly,3,NA
Botany Bay Heritage Preserve,SC,5075,"Sweetgum, Sweetgum, Sweetgum",NA,Sweetgum,3,NA
Botany Bay Heritage Preserve,SC,5076,"Sweetgum, Sweetgum, Sweetgum",NA,Sweetgum,3,NA
