"","Name","Region","PlantFK","UserSuggestedName","InferredName","NameConfidence","Notes","PhotoURL"
"1","NC State University","NC",986,"American beech, American elm, American beech, American elm, American beech",NA,1,NA,"41633.jpeg, 41980.jpeg, 42188.jpeg"
"2","NC State University","NC",990,"Dogwood spp., Dogwood spp., Dogwood spp.","Dogwood spp.",3,NA,NA
"3","Columbus Botanical Garden","GA",1140,"Cucumbertree, Southern magnolia, Southern magnolia",NA,1,NA,NA
"4","Columbus Botanical Garden","GA",1156,"Water oak","Water oak",2,"",NA
"5","Wye Marsh Wildlife Centre","ON",1226,"Common buckthorn","Common buckthorn",2,"",NA
"6","Wye Marsh Wildlife Centre","ON",1227,"Redosier dogwood","Redosier dogwood",2,"","71096.jpeg"
"7","Wye Marsh Wildlife Centre","ON",1228,"Black ash","Black ash",2,"",NA
"8","Wye Marsh Wildlife Centre","ON",1229,"Redosier dogwood","Redosier dogwood",2,"some wind",NA
"9","Wye Marsh Wildlife Centre","ON",1230,"Common buckthorn","Common buckthorn",2,"",NA
"10","Red Top Mountain State Park","GA",1502,"Water oak","Water oak",2,"",NA
"11","Jordan Lake SRA","NC",1945,"Winged elm, Winged elm","Winged elm",3,NA,NA
"12","Jordan Lake SRA","NC",1946,"Winged elm","Winged elm",2,"",NA
"13","NC State University","NC",2352,"Rocky mountain maple, Red maple, Eastern redbud, Willow oak, Willow oak, Dogwood spp., White oak, White oak, White oak, Red maple, Red maple",NA,1,NA,"41482.jpeg, 41549.jpeg"
"14","NC State University","NC",2355,"Rocky mountain maple, Cucumbertree, Red maple, Red maple",NA,1,NA,NA
"15","NC State University","NC",2362,"Oak spp., Bigleaf magnolia, Magnolia spp., Magnolia, Magnolia, Bigleaf maple",NA,1,NA,"41489.jpeg, 41490.jpeg"
"16","NC State University","NC",2375,"Southern magnolia, Southern magnolia, Southern magnolia, Cucumbertree",NA,1,NA,NA
"17","NC State University","NC",2376,"Hackberry, Hackberry, Hackberry, Hackberry","Hackberry",3,NA,NA
"18","NC State University","NC",2387,"Japanese maple, Sugar maple, Sugar maple, Silver maple",NA,1,NA,"156.jpeg, 41585.jpeg, 41738.jpeg, 41960.jpeg"
"19","NC State University","NC",2390,"American beech, American beech, American beech, American beech, American beech, American beech","American beech",3,NA,"41460.jpeg"
"20","NC State University","NC",2391,"Dogwood spp.","Dogwood spp.",2,"","159.jpeg, 41440.jpeg, 41441.jpeg"
"21","NC State University","NC",2393,"American holly, American holly, Willow oak",NA,1,NA,NA
"22","NC State University","NC",2394,"Eastern redbud, Southern catalpa, Willow oak, Willow oak",NA,1,NA,"179.jpeg"
"23","NC State University","NC",2405,"Elm spp., American beech",NA,1,NA,"41591.jpeg, 41592.jpeg, 41593.jpeg, 41594.jpeg, 42143.jpeg"
"24","Example Site","NC",3245,"White fir, White fir","White fir",3,NA,"861.jpeg"
"25","Museum of American Bird Art","MA",3302,"Highbush blueberry, Black cherry, Highbush blueberry",NA,1,NA,NA
"26","Wellesley College","MA",3532,"Common lilac?",NA,1,"",NA
"27","Wellesley College","MA",3536,"Elder","Elder",2,"",NA
"28","Wellesley College","MA",3537,"Maple","Maple",2,"",NA
"29","Wellesley College","MA",3540,"Maple, Maple spp.",NA,1,NA,NA
"30","Wellesley College","MA",3542,"Maple spp.","Maple spp.",2,"","12482.jpeg, 13198.jpeg"
"31","Wellesley College","MA",3544,"White oak tree","White oak tree",2,"","9603.jpeg, 11546.jpeg"
"32","Wellesley College","MA",3547,"Maple","Maple",2,"",NA
"33","Wellesley College","MA",3549,"Maple, Maple","Maple",3,NA,NA
"34","Wellesley College","MA",3552,"Maple, Maple spp.",NA,1,NA,NA
"35","Wellesley College","MA",3553,"Maple","Maple",2,"Lots of falls on leaves","11558.jpeg"
"36","Wellesley College","MA",3554,"Asian pear tree, Asian pear tree","Asian pear tree",3,NA,NA
"37","Wellesley College","MA",3557,"Persimmon, Persimmon spp., Common persimmon",NA,1,NA,NA
"38","Wellesley College","MA",3558,"Chickasaw plum, Chickasaw plum, Chickasaw plum","Chickasaw plum",3,NA,NA
"39","Botany Bay Heritage Preserve","SC",5061,"Devil’s walking stick, Devil’s walking stick, Yaupon",NA,1,NA,NA
"40","Botany Bay Heritage Preserve","SC",5072,"Eastern hophornbeam, Eastern hophornbeam, Eastern hophornbeam","Eastern hophornbeam",3,NA,NA
"41","Botany Bay Heritage Preserve","SC",5073,"Flowering dogwood, Flowering dogwood, Flowering dogwood, Flowering dogwood","Flowering dogwood",3,NA,NA
"42","Botany Bay Heritage Preserve","SC",5074,"American holly, American holly, American holly","American holly",3,NA,NA
"43","Botany Bay Heritage Preserve","SC",5075,"Sweetgum, Sweetgum, Sweetgum","Sweetgum",3,NA,NA
"44","Botany Bay Heritage Preserve","SC",5076,"Sweetgum, Sweetgum, Sweetgum","Sweetgum",3,NA,NA
"45","Botany Bay Heritage Preserve","SC",5174,"Dogwood spp., Dogwood spp.","Dogwood spp.",3,NA,NA
"46","Botany Bay Heritage Preserve","SC",5175,"Sweetgum, Sweetgum","Sweetgum",3,NA,NA
"47","Botany Bay Heritage Preserve","SC",5176,"Sweetgum, Sweetgum, Sweetgum","Sweetgum",3,NA,NA
"48","Botany Bay Heritage Preserve","SC",5177,"Live oak, Live oak","Live oak",3,NA,NA
"49","Botany Bay Heritage Preserve","SC",5178,"Sweetgum, Sweetgum","Sweetgum",3,NA,NA
"50","Chepiwanoxet","RI",5281,"Crabapple, Bigtooth aspen",NA,1,NA,NA
