,cleanedName,sciName,itis_id,rank,notes,isConifer
8,Acer negundo,Acer negundo,28749,species,,0
616,Acer negundo,Acer negundo,28749,species,NA,NA
17,Acer x freemanii,Acer X freemanii,500949,species,,0
487,Acer x freemanii,Acer X freemanii,500949,species,NA,NA
22,Aesculus hippocastanum,Aesculus hippocastanum,28721,species,,0
413,Aesculus hippocastanum,Aesculus hippocastanum,28721,species,NA,NA
23,Aesculus parviflora,Aesculus parviflora,28722,species,,0
408,Aesculus parviflora,Aesculus parviflora,28722,species,NA,NA
27,Ailanthus,Ailanthus,28826,genus,,0
720,Ailanthus,Ailanthus,28826,genus,NA,NA
28,Alder,Alnus,19466,genus,,0
523,Alder,Betula,19478,genus,NA,NA
786,Alnus crispa,Alnus viridis,181892,species,formerly known as this |,NA
80,Alternate-leaf dogwood,Cornus alternifolia,27813,species,,0
454,Alternate-leaf dogwood,Cornus alternifolia,27813,species,NA,NA
814,Amelanchier,Amelanchier,25108,species,NA,NA
737,Amelanchier alnifolia,Amelanchier alnifolia,25109,species,NA,NA
33,Amelanchier laevis,Amelanchier laevis,182046,species,,0
726,Amelanchier laevis,Amelanchier laevis,182046,species,NA,NA
325,American basswood,Tilia americana,21536,species,,0
465,American basswood,Tilia americana,21536,species,NA,NA
747,American beautyberry,Callicarpa americana,32144,species,NA,NA
111,American beech,Fagus grandifolia,19462,species,,0
366,American beech,Fagus grandifolia,19462,species,NA,NA
315,American bladdernut,Staphylea trifolia,28646,species,,0
510,American bladdernut,Staphylea trifolia,28646,species,NA,NA
63,American chestnut,Castanea dentata,19454,species,,0
463,American chestnut,Castanea dentata,19454,species,NA,NA
336,American elm,Ulmus americana,19049,species,,0
424,American elm,Ulmus americana,19049,species,NA,NA
94,American hazelnut,Corylus americana,19506,species,,0
511,American hazelnut,Corylus americana,19506,species,NA,NA
146,American holly,Ilex opaca,27982,species,,0
445,American holly,Ilex opaca,27982,species,NA,NA
53,American hornbeam,Carpinus caroliniana,19504,species,,0
369,American hornbeam,Carpinus caroliniana,19504,species,NA,NA
314,American mountain-ash,Sorbus americana,25319,species,,0
524,American mountain-ash,Sorbus americana,25319,species,NA,NA
242,American plum,Prunus americana,24763,species,,0
712,American plum,Prunus americana,24763,species,NA,NA
769,American sweetgum,Liquidambar styraciflua,19027,species,no matches | just sweetgum?,NA
232,American sycamore,Platanus occidentalis,19020,species,,0
447,American sycamore,Platanus occidentalis,19020,species,NA,NA
179,Amur honeysuckle,Lonicera maackii,35298,species,,0
621,Amur honeysuckle,Lonicera maackii,35298,species,NA,NA
5,Amur maple,Acer ginnala,28741,species,,0
