cleanedName,sciName,itis_id,rank,notes,isConifer
Acer negundo,Acer negundo,28749,species,NA,
Acer x freemanii,Acer X freemanii,500949,species,NA,
Aesculus hippocastanum,Aesculus hippocastanum,28721,species,NA,
Aesculus parviflora,Aesculus parviflora,28722,species,NA,
Ailanthus,Ailanthus,28826,genus,NA,
Alder,Betula,19478,genus,NA,
Alnus crispa,Alnus viridis,181892,species,formerly known as this |,
Alternate-leaf dogwood,Cornus alternifolia,27813,species,NA,
Amelanchier,Amelanchier,25108,species,NA,
Amelanchier alnifolia,Amelanchier alnifolia,25109,species,NA,
Amelanchier laevis,Amelanchier laevis,182046,species,NA,
American basswood,Tilia americana,21536,species,NA,
American beautyberry,Callicarpa americana,32144,species,NA,
American beech,Fagus grandifolia,19462,species,NA,
American bladdernut,Staphylea trifolia,28646,species,NA,
American chestnut,Castanea dentata,19454,species,NA,
American elm,Ulmus americana,19049,species,NA,
American hazelnut,Corylus americana,19506,species,NA,
American holly,Ilex opaca,27982,species,NA,
American hornbeam,Carpinus caroliniana,19504,species,NA,
American mountain-ash,Sorbus americana,25319,species,NA,
American plum,Prunus americana,24763,species,NA,
American sweetgum,Liquidambar styraciflua,19027,species,no matches | just sweetgum?,
American sycamore,Platanus occidentalis,19020,species,NA,
Amur honeysuckle,Lonicera maackii,35298,species,NA,
Amur maple,Acer,28727,genus,Between Acer ginnala vs A. japonicum | what's the difference??,
Apple,Malus,25254,genus,NA,
Arizona white oak,Quercus arizonica,19292,species,NA,
Ash,Fraxinus,32928,genus,For some reason not on the sugggested ITIS ids,
Asimina,Asimina,18108,genus,NA,
Atlantic white-cedar,Chamaecyparis thyoides,18046,species,NA,
Autumn olive,Elaeagnus umbellata,27776,species,NA,
Azalea,Rhododendron,23700,species,NA,
"Azalea, rhododendron",NA,NA,species,Unknown,
Baccharis halimifolia,Baccharis halimifolia,35682,species,NA,
Bald cypress,Taxodium,18040,genus,NA,
Balsam poplar,Populus balsamifera,22453,species,NA,
Basswood,Tilia,21535,genus,NA,
Beaked hazel,Corylus cornuta,19507,species,NA,
