"plantName"
"Birch spp."
"N/A"
"Elm spp."
"Hop hornbeam"
"Dogwood spp."
"Basswood spp."
"Honey suckle"
"Hydrangeas"
"Serviceberry spp."
"Hackberry spp."
"Hickory spp."
"Cherry and plum spp."
"Vaccinium spp"
"Rhododendron sp"
"White fir"
"Maple spp."
"Oak spp."
"White-cedar spp."
"Magnolia spp."
"Ironwood"
"Blueberry vaccinium sp."
"Maple leaf viburnum"
"Hawthorn spp."
"Willow spp."
"Red osier dogwood"
"Apple spp."
"Simplocos tinctoria"
"Walnut spp."
"Hop-hornbeam"
"Red-osier dogwood"
"Ulmus sp."
"American yellowwood"
"Red osier dogwood (cornus sericea)"
"Ash spp."
"Alder spp."
"Unknown"
"Buckeye spp."
"Beech spp."
"Rhododendron spp."
"Clerya spp."
"Camellia spp."
"Catalpa spp."
"Azalea spp."
"Symplocos tinctotria"
"Pear tree"
"Sweet gum"
"Sumac?"
"Sumac spp."
"Mulberry spp."
"Quihoui???"
"Olive quihoui??"
"Privet spp."
"Bush honeysuckle (caprifoliaceae family)"
"Box elder (acer negundo)"
"Sycamore spp."
"Calycanthus sp."
"Blueberry spp."
"Boxelder maple"
"California-laurel"
"Viburnum spp."
"American witch-hazel"
"Hawthorn sp."
"8"
"9"
"Viburnum sp"
"Persimmon spp."
"Crab apple sp"
"Yew spp."
"Honeysuckle spp."
"Burr oak"
"Buxus spp."
"Yaupon"
"Pear spp."
"Ficus spp."
"Carpinus spp."
"Feijoa sellowiana"
"Olea spp."
"Osmanthus fragrans"
"Illicium spp."
"Magnolia figo"
"Asimina spp."
"Eastern sweet shrub"
"Lilac spp."
"Virburnum"
"Gardenia spp."
"Forsythia spp."
"Carolina laurel cherry"
"White spruce"
"Cherry spp."
"Amelanchier alnifolia"
"Green alder"
"Buxus sempervirens"
"Euonymus japonicus"
"Nerium oleander"
"Viburnum tinus"
"Nothoscordum gracile (onionweed)"
"Texas sophora"
"Lombardy poplar"
"Yucca rostrata"
"American beautyberry"
"Carolina cherry laurel"
"Gum bumelia"
"Leatherleaf mahonia"
"Stretchberry"
"Chinese holly"
"Heavenly bamboo"
"Groundsel tree"
"Chinese privet"
"Fishpole bamboo"
"Japanese spindle tree"
"Common gardenia"
"Tree privet"
"Reeves spiraea"
"Buttonwood-mangrove"
"Strawberry bush"
"Winged eonymous"
"Viburnum rhytidophyllum"
"Silver poplar"
"Mountain maple"
"Carolina laurelcherry"
"Bigleaf snowbell"
"American sweetgum"
"Sweetbay magnolia"
"Prunus spp. (apricot)"
"Prunus spp. (cherry)"
"Punica spp."
"Camptotheca spp."
"Viburnum awabuki"
"Eriobotrya japonica"
"Silverbell spp."
"Black haw"
"Pussy willow"
"Prunus spp.(plum)"
"Cockspur hawthorn"
"Honey locust"
"Winged euonymus"
"Prunus laurocerasus"
"Japanese cherry"
"Alnus crispa"
"Rosa acicularis"
"Rubus idaeus"
"Lonicera involucrata"
"Franklin tree"
"Crepe myrtle spp."
"Prunus salicina"
"Na"
"Tilia tomentosa"
"Ulmus carpinifolia"
"Pitch pine"
"Sassafras spp."
"Cedar elm"
"Loblolly pine"
"Prickly ash"
"Fremont cottonwood"
"Rosa spp."
"Cypress spp."
"Elderberry spp."
"Eastern cottonwood"
"Azalea, rhododendron spp."
"Post oak"
"Shortleaf pine"
"Syringa vulgaris"
"Horse chestnut"
"Arizona white oak"
"Norway spruce"
"Shining willow"
"Myrobalan plum"
"Magnolia kobus"
"Prunus serulata (japanese cherry blossom)"
"Prunus sargentii"
"Amelanchier"
"Prunus rosaceae"
"Staghorn sumac"
"Cottonwood and poplar spp."
"Buckthorn spp."
"Quercus hemispherica"
"Prunus umbellata"
"Ilex ambigua"
"Hibiscus coccineus albus"
"Quercus nuttallii"
"Hibiscus moscheutos"
"Eastern redcedar"
"Southern arrowwood"
"Cucumbertree"
"Redcedar/juniper spp."
"Red pine"
"Witch-hazel"
"Winged sumac"
"Lonicera sempervirens"
"Water hickory"
"Blackgum tupelo"
"Yaupon holly"
"Chastetree"
"Duranta"
"Golden thryallis"
"Lantana"
"Southern red cedar"
"Cabbage palmetto"
"Silverberry"
"Loropetalum"
"Chinese elm"
"Windy salvia"
"Eastern baccharis"
"Pine spp."
"Nannyberry"
"Hophornbeam spp."
"Tree of heaven"
"Tupelo spp."
"Hazelnut spp."
"Fringetree spp."
"Spicebush spp."
"Bebb willow"
"Dpwny arrowwood"
"Downy arrowwood"
"Deutzia spp."
"Fig spp."
"Muscadine"
"Freeman maple"
"Beaked hazelnut"
"Locust spp."
